PERIOD_START_TIME,PLMN name,RNC name,RRC Connection setup SR,Call Setup Success Rate CS -Speech,HSDPA Accessibility,HSUPA Accessibility,CSSR for PS,Soft Handover Success Rate CS and PS,IRAT HO Success Rate CS,3G Traffic CS - Speech,PS HSUPA Volume,PS HSDPA Volume,AVG Nbr of HSDPA Users,AVG Nbr of HSUPA Users,CS drop rate,PS Global RAB Drop Rate,PS HSDPA RAB Drop Rate,PS HSUPA RAB Drop Rate,PS HSDPA Throughput,PS HSUPA Throughput,PS R99 Setup SR User,PS R99 Drop Rate User,PS R99 DL Data Volume,PS R99 UL Data Volume,Packet Loss,RRC Drop rate
2/11 13:00,PLMN,N406,99.9959,99.8186,99.7288,99.7745,98.9091,99.9837,98.7131,434.0397,145.7795,835.3557,7298.5,8209.7,0.4362,2.8712,0.4372,0.4353,4716.1992,422.0837,100,3.4894,0.1211,0.0568,4.6439,1.03
2/11 13:00,PLMN,N407,99.9982,99.829,99.728,99.772,98.7843,99.9737,98.1532,1354.6457,218.9481,1363.1265,5973,7123.5,0.2654,1.5415,0.507,0.5289,3954.8225,340.5493,100,3.2777,0.2052,0.1361,2.7261,0.72
2/11 13:00,PLMN,N408,99.996,99.8494,99.7802,99.8157,98.8379,99.972,98.4469,1710.4383,207.5964,1291.92,5149.2,6301.8,0.2072,1.28,0.4495,0.4676,4150.6498,324.5612,99.5984,2.5933,0.256,0.1627,2.4693,0.51
2/11 13:00,PLMN,N601,99.9896,99.6015,99.5508,99.4745,98.4853,99.8536,97.6552,269.4694,147.3231,844.7781,7238.1,8278.6,0.4049,2.558,0.6381,0.6536,4467.7869,428.7956,99.5169,4.0768,0.1872,0.1176,2.9785,1.12
2/11 13:00,PLMN,N602,99.9743,99.7309,99.7583,99.7994,98.8773,99.9681,99.4859,820.5977,230.5871,1494.0527,5951.7,7227.2,0.2965,1.6264,0.4194,0.4446,4134.9858,370.9201,99.5012,3.4452,0.2826,0.1872,2.6141,0.69
2/11 13:00,PLMN,N604,100,100,99.8457,99.842,98.8571,100,,1.1923,1.5285,10.8796,5766.6,6034.3,0,0.8503,0.6266,0.6079,5039.3126,391.5371,,3.2787,0.0006,0.0005,0,0.52
2/11 14:00,PLMN,N103,100,99.8933,99.8075,99.8502,99.2358,99.9772,95.6938,"2,114.03",147.7047,786.0426,2590,3260,0.2493,0.6104,0.3821,0.3567,"4,136.42",214.0336,100,2.9407,0.241,0.0772,0.1623,0.36
2/11 14:00,PLMN,N104,100,99.6983,99.6667,99.7365,98.6272,99.9573,98.6327,317.3678,95.6427,633.414,5730,6710,0.6084,0.9007,0.5484,0.4527,"4,889.19",469.1028,100,2.9333,0.0803,0.0417,1.6347,0.47
2/11 14:00,PLMN,N105,99.9985,99.7166,99.6634,99.7295,98.8827,99.9531,98.533,518.5888,125.8592,683.6848,5080,6060,0.5387,1.1555,0.699,0.643,"4,088.57",366.4465,100,4.2508,0.0917,0.0567,1.2141,0.51
2/11 14:00,PLMN,N107,100,99.8166,99.7421,99.7857,99.0219,99.9697,98.5989,"1,730.05",140.5447,689.6876,3260,4040,0.4095,0.7848,0.5129,0.4805,"4,033.07",268.7862,100,3.389,0.1296,0.0688,0.2234,0.4
2/11 14:00,PLMN,N108,100,99.7845,99.7258,99.7911,98.8996,99.9554,98.6339,523.4945,108.9781,745.3756,3950,4860,0.5444,0.9348,0.52,0.4752,"4,462.26",337.1241,100,4.1109,0.1241,0.0646,2.1884,0.44
2/11 14:00,PLMN,N109,100,99.6987,99.726,99.7636,98.7765,99.9582,100,489.9339,135.589,895.9909,6170,7460,0.3263,1.3163,0.3946,0.4085,"4,296.46",446.732,98.8,3.9269,0.1129,0.0714,1.5459,0.55
2/11 14:00,PLMN,N110,99.9984,99.794,99.6305,99.6991,99.0584,99.9521,97.8618,577.5752,127.7662,757.0968,4340,5300,0.5638,1.1109,0.5142,0.4571,"4,513.35",368.7069,100,2.3605,0.5845,0.3748,3.2877,0.55
2/11 14:00,PLMN,N112,100,99.8173,99.7873,99.8262,99.0594,99.9663,97.8873,413.0902,93.6356,566.2987,4210,5220,0.3225,0.7384,0.4435,0.4197,"4,223.62",352.9482,100,2.5603,0.0703,0.0505,0.6418,0.52
2/11 14:00,PLMN,N114,100,99.6884,99.761,99.8219,99.0081,99.9734,97.7679,684.2585,102.0269,592.4081,4430,5380,0.3623,0.7931,0.4989,0.4312,"4,167.03",327.1143,100,2.9765,0.0515,0.0283,0.5385,0.36
2/11 14:00,PLMN,N115,99.9983,99.8712,99.7953,99.837,99.2909,99.9765,98.4252,"1,517.69",147.3245,874.5109,2560,3130,0.2783,0.5448,0.4322,0.4055,"4,544.73",237.3484,99.4624,3.2725,0.1723,0.0808,1.2732,0.32
2/11 14:00,PLMN,N116,100,99.5451,99.5282,99.6407,98.7477,99.9593,98.5294,419.1876,115.7295,679.3186,3740,4470,0.4771,1.4742,0.6335,0.5345,"4,170.13",328.4111,100,4.207,0.1246,0.0678,0.8787,0.7
2/11 14:00,PLMN,N117,99.9994,99.8649,99.8116,99.8549,99.0773,99.9759,98.7013,"1,100.93",130.3258,671.7904,2890,3610,0.3565,0.6826,0.4041,0.3762,"4,380.19",302.5305,99.3151,4.1818,0.0818,0.0407,0.1239,0.37
2/11 14:00,PLMN,N118,100,99.8079,99.7515,99.8123,99.1207,99.971,97.7011,"1,342.78",178.0856,952.0181,4730,5800,0.3521,0.7486,0.4999,0.429,"3,840.84",324.5301,100,2.7696,0.1193,0.0704,0.0928,0.38
2/11 14:00,PLMN,N119,99.9939,99.7902,99.7759,99.8196,98.9602,99.9601,97.0339,629.912,124.5634,797.6539,4530,5440,0.4239,0.9103,0.4699,0.4216,"4,323.89",346.389,100,3.4815,0.1087,0.057,2.8563,0.42
2/11 14:00,PLMN,N120,100,99.8701,99.8331,99.8673,98.9813,99.9745,97.0149,589.3623,102.4869,711.7359,3550,4350,0.3069,0.5953,0.4395,0.3818,"4,578.69",308.2454,100,3.1725,0.1025,0.049,0.4654,0.32
2/11 14:00,PLMN,N121,100,99.8194,99.7645,99.8094,98.9999,99.958,97.093,"1,059.37",121.337,761.0569,2620,3200,0.5173,0.8761,0.5624,0.5363,"4,429.32",225.8231,100,5.6456,0.1313,0.0638,0.807,0.47
